"","i1","i2","i3","i4","value"
"4080","BL000000","SHGM","FROO","Y",40.9363385590587
"4081","BL000000","SHGM","FSGM","Y",0.128105750905481
"4082","BL000000","SHGM","FSTR","Y",0.560976667847222
"4083","BL000000","SHGM","FCER","Y",5.43631400028771
"4084","BL000000","SHGM","FPRO","Y",5.35711157547079
"4085","BL000000","SHGM","FENE","Y",5.35316718745967
"4086","BL000000","SHGM","FMIL","Y",0.506980441998204
"4087","BL000000","SHGM","FOTH","Y",83.3511503155896
"4181","BL000000","SHGF","FGRA","Y",261.861378067745
"4182","BL000000","SHGF","FMAI","Y",13.4487715539683
"4183","BL000000","SHGF","FOFA","Y",112.999714647596
"4184","BL000000","SHGF","FROO","Y",53.6691771492251
"4185","BL000000","SHGF","FSGM","Y",0.216334628217233
"4186","BL000000","SHGF","FSTR","Y",0.126894987722376
"4187","BL000000","SHGF","FCER","Y",20.6033403186457
"4188","BL000000","SHGF","FPRO","Y",1.21179836278424
"4189","BL000000","SHGF","FENE","Y",1.21090612771173
"4190","BL000000","SHGF","FMIL","Y",0.114680842639089
"4191","BL000000","SHGF","FOTH","Y",66.6946860411813
"4283","BL000000","HENS","FCER","Y",29892.1783656552
"4284","BL000000","HENS","FPRO","Y",7131.78771199262
"4285","BL000000","HENS","FENE","Y",273.848676511094
"4286","BL000000","HENS","FMIL","Y",25.9352861953302
"4287","BL000000","HENS","FOTH","Y",431.506316506202
"4376","BL000000","POUF","FCER","Y",3458.93164618977
"4377","BL000000","POUF","FPRO","Y",1340.75403519474
"4378","BL000000","POUF","FENE","Y",27.2231279118699
"4379","BL000000","POUF","FMIL","Y",64.5669032241852
"4380","BL000000","POUF","FOTH","Y",1866.94232918085
"4588","BL000000","DCOW","FGRA","Y",6987.08255977896
"4589","BL000000","DCOW","FMAI","Y",7029.6968950693
"4590","BL000000","DCOW","FOFA","Y",4703.62478810872
"4591","BL000000","DCOW","FROO","Y",714.226612004615
"4592","BL000000","DCOW","FSTR","Y",216.422290235355
"4593","BL000000","DCOW","FCER","Y",175.22632079553
"4594","BL000000","DCOW","FPRO","Y",1215.99001345266
"4595","BL000000","DCOW","FENE","Y",41.0824490731304
"4596","BL000000","DCOW","FMIL","Y",3.89078044083062
"4597","BL000000","DCOW","FOTH","Y",64.7340585992646
"4682","BL000000","BULF","FGRA","Y",6477.17190323185
"4683","BL000000","BULF","FMAI","Y",8298.38734331405
"4684","BL000000","BULF","FOFA","Y",63.9028639079546
"4685","BL000000","BULF","FROO","Y",641.982696214175
"4686","BL000000","BULF","FCOM","Y",322.688299582406
"4687","BL000000","BULF","FSTR","Y",2.93840781638057
"4688","BL000000","BULF","FCER","Y",142.980233257331
"4689","BL000000","BULF","FPRO","Y",50.509197568935
"4690","BL000000","BULF","FENE","Y",28.0400045270854
"4691","BL000000","BULF","FMIL","Y",2.65557442742965
"4692","BL000000","BULF","FOTH","Y",603.869034794401
"4774","BL000000","HEIF","FGRA","Y",1703.48891769032
"4775","BL000000","HEIF","FMAI","Y",11920.6808706398
"4776","BL000000","HEIF","FOFA","Y",86.8249736367662
"4777","BL000000","HEIF","FROO","Y",429.872048545699
"4778","BL000000","HEIF","FCOM","Y",349.072852745114
"4779","BL000000","HEIF","FSTR","Y",3.90373066812317
"4780","BL000000","HEIF","FCER","Y",37.8302822575547
"4781","BL000000","HEIF","FPRO","Y",463.68589691513
"4782","BL000000","HEIF","FENE","Y",37.2516792927681
"4783","BL000000","HEIF","FMIL","Y",3.52798113185499
"4784","BL000000","HEIF","FOTH","Y",421.887881159983
"2289","DK000000","DCOL","FGRA","Y",164.685608366691
"2290","DK000000","DCOL","FMAI","Y",4852.67615599603
"2291","DK000000","DCOL","FOFA","Y",10811.5655230396
"2292","DK000000","DCOL","FROO","Y",467.266458164588
"2293","DK000000","DCOL","FSTR","Y",653.193275115427
"2294","DK000000","DCOL","FCER","Y",890.545006007418
"2295","DK000000","DCOL","FPRO","Y",554.934645327934
"2296","DK000000","DCOL","FENE","Y",40.5300052341616
"2297","DK000000","DCOL","FMIL","Y",3.86749846389697
"2298","DK000000","DCOL","FOTH","Y",308.775398180825
"2400","DK000000","DCOH","FGRA","Y",200.008634208476
"2401","DK000000","DCOH","FMAI","Y",157.14964116384
"2402","DK000000","DCOH","FOFA","Y",13445.4079683542
"2403","DK000000","DCOH","FROO","Y",40.0017268417054
"2404","DK000000","DCOH","FSTR","Y",872.374409958696
"2405","DK000000","DCOH","FCER","Y",2735.84452269573
"2406","DK000000","DCOH","FPRO","Y",1012.82636688386
"2407","DK000000","DCOH","FENE","Y",49.2231900027239
"2408","DK000000","DCOH","FMIL","Y",4.69702904363778
"2409","DK000000","DCOH","FOTH","Y",300.855165688735
"2511","DK000000","BULL","FGRA","Y",2661.31065928621
"2512","DK000000","BULL","FMAI","Y",13.5103338337791
"2513","DK000000","BULL","FOFA","Y",10.537307725509
"2514","DK000000","BULL","FROO","Y",3.4389940667781
"2515","DK000000","BULL","FCOM","Y",31.5241122788188
"2516","DK000000","BULL","FSTR","Y",54.2035210109232
"2517","DK000000","BULL","FCER","Y",15.3066247582228
"2518","DK000000","BULL","FPRO","Y",33.9338280582854
"2519","DK000000","BULL","FENE","Y",4.23177376909824
"2520","DK000000","BULL","FMIL","Y",0.403808942461075
